Sample,seconds_elapsed,Acx,Acy,Acz,Gyx,Gyy,Gyz
273,9.8229,-44.744,-0.448,-0.012,0.002,0.004,0.0
274,9.8439,-44.746,-0.446,-0.008,0.003,0.004,-0.001
275,9.8628,-44.745,-0.445,-0.009,0.001,0.004,0.0
276,9.8837,-44.744,-0.445,-0.01,0.002,0.003,0.001
277,9.9027,-44.744,-0.442,-0.009,0.002,0.005,0.0
278,9.9236,-44.745,-0.441,-0.005,0.004,0.004,-0.001
279,9.9425,-44.745,-0.439,-0.001,0.005,0.004,0.0
279,9.9634,-44.745,-0.438,0.0,0.003,0.004,0.0
280,9.9824,-44.746,-0.436,0.005,0.003,0.005,-0.001
281,10.0033,-44.747,-0.437,0.007,0.002,0.002,-0.001
282,10.0222,-44.746,-0.438,0.009,0.002,0.002,0.001
283,10.0432,-44.746,-0.438,0.009,0.001,0.002,0.0
284,10.0621,-44.747,-0.437,0.007,0.002,0.004,-0.001
285,10.083,-44.745,-0.434,0.008,0.002,0.004,0.001
286,10.102,-44.745,-0.432,0.008,0.002,0.004,0.0
287,10.1229,-44.745,-0.434,0.007,0.003,0.003,0.0
288,10.1438,-44.744,-0.434,0.009,0.003,0.003,0.001
288,10.1627,-44.743,-0.432,0.012,0.003,0.004,0.0
289,10.1837,-44.745,-0.432,0.013,0.002,0.004,-0.001
290,10.2026,-44.744,-0.432,0.014,0.002,0.003,0.0
291,10.2235,-44.744,-0.433,0.013,0.002,0.002,0.0
292,10.2425,-44.743,-0.429,0.014,0.003,0.005,0.001
293,10.2634,-44.744,-0.429,0.014,0.002,0.002,-0.001
294,10.2823,-44.743,-0.427,0.013,0.001,0.003,0.001
295,10.3032,-44.742,-0.427,0.016,0.003,0.003,0.0
296,10.3222,-44.742,-0.426,0.017,0.004,0.003,0.0
297,10.3431,-44.742,-0.426,0.019,0.003,0.003,0.0
297,10.362,-44.742,-0.425,0.023,0.004,0.003,0.0
298,10.383,-44.743,-0.424,0.022,0.002,0.003,-0.001
299,10.4039,-44.743,-0.425,0.023,0.002,0.002,0.0
300,10.4228,-44.743,-0.424,0.027,0.003,0.003,0.0
301,10.4437,-44.743,-0.425,0.028,0.002,0.002,0.0
302,10.4627,-44.743,-0.426,0.026,0.0,0.002,0.0
303,10.4836,-44.741,-0.426,0.025,0.002,0.002,0.001
304,10.5025,-44.741,-0.427,0.025,0.003,0.002,0.0
305,10.5235,-44.74,-0.425,0.028,0.004,0.004,0.001
306,10.5424,-44.739,-0.425,0.028,0.003,0.002,0.0
306,10.5633,-44.74,-0.425,0.029,0.002,0.003,-0.001
307,10.5823,-44.74,-0.425,0.029,0.001,0.003,0.0
308,10.6032,-44.739,-0.425,0.029,0.0,0.003,0.001
309,10.6221,-44.738,-0.427,0.031,0.002,0.002,0.001
310,10.643,-44.736,-0.427,0.032,0.001,0.003,0.001
311,10.662,-44.736,-0.427,0.031,0.002,0.003,0.0
312,10.6829,-44.736,-0.428,0.032,0.002,0.002,0.0
313,10.7039,-44.737,-0.431,0.032,0.002,0.001,-0.001
314,10.7228,-44.738,-0.431,0.03,0.001,0.002,-0.001
315,10.7437,-44.738,-0.431,0.031,0.002,0.004,0.0
315,10.7627,-44.739,-0.432,0.032,0.001,0.003,-0.001
316,10.7836,-44.738,-0.432,0.032,0.0,0.003,0.001
317,10.8025,-44.737,-0.43,0.031,0.001,0.004,0.0
318,10.8234,-44.737,-0.43,0.034,0.003,0.001,0.0
319,10.8424,-44.737,-0.431,0.034,0.001,0.002,0.0
320,10.8633,-44.738,-0.433,0.033,0.0,0.002,-0.001
321,10.8823,-44.737,-0.432,0.033,0.001,0.003,0.001
322,10.9032,-44.735,-0.434,0.032,0.001,0.0,0.001
323,10.9221,-44.735,-0.436,0.033,0.002,0.002,0.0
324,10.943,-44.735,-0.435,0.032,0.001,0.003,0.0
324,10.962,-44.735,-0.435,0.031,0.002,0.002,0.0
325,10.9829,-44.735,-0.436,0.034,0.003,0.001,0.0
326,11.0038,-44.734,-0.436,0.034,0.001,0.003,0.0
327,11.0228,-44.735,-0.437,0.035,0.002,0.002,-0.001
328,11.0437,-44.735,-0.44,0.033,0.001,0.001,0.0
329,11.0627,-44.735,-0.441,0.035,0.002,0.001,0.0
330,11.0836,-44.734,-0.442,0.034,0.001,0.002,0.001
331,11.1025,-44.733,-0.444,0.033,0.001,0.001,0.0
332,11.1234,-44.734,-0.443,0.032,0.002,0.002,-0.001
333,11.1423,-44.734,-0.443,0.032,0.002,0.002,0.0
333,11.1633,-44.733,-0.444,0.033,0.002,0.002,0.001
334,11.1822,-44.733,-0.446,0.034,0.002,0.001,0.0
335,11.2032,-44.733,-0.445,0.035,0.002,0.004,0.0
336,11.2221,-44.732,-0.449,0.036,0.002,-0.0,0.0
337,11.243,-44.734,-0.449,0.036,0.001,0.002,-0.001
338,11.262,-44.735,-0.45,0.038,0.002,0.002,-0.001
339,11.2829,-44.734,-0.449,0.035,0.001,0.002,0.0
340,11.3038,-44.734,-0.451,0.035,0.001,0.001,0.0
341,11.3227,-44.734,-0.45,0.037,0.003,0.002,0.0
342,11.3437,-44.734,-0.452,0.036,0.001,0.001,0.0
342,11.3626,-44.734,-0.454,0.035,0.002,0.001,0.0
343,11.3835,-44.734,-0.456,0.038,0.002,0.002,0.0
344,11.4025,-44.733,-0.456,0.039,0.002,0.002,0.0
345,11.4234,-44.733,-0.459,0.039,0.001,0.0,0.0
346,11.4423,-44.733,-0.459,0.039,0.002,0.001,0.0
347,11.4633,-44.733,-0.462,0.037,0.001,-0.001,0.0
348,11.4822,-44.733,-0.465,0.034,-0.0,0.0,0.0
349,11.5031,-44.732,-0.467,0.035,0.002,0.0,0.0
350,11.5221,-44.732,-0.466,0.035,0.002,0.002,0.0
351,11.543,-44.733,-0.468,0.032,-0.001,0.0,-0.001
351,11.5619,-44.733,-0.47,0.031,0.0,0.0,0.0
352,11.5829,-44.732,-0.471,0.028,-0.001,0.001,0.001
353,11.6038,-44.73,-0.472,0.03,0.003,0.001,0.001
354,11.6227,-44.73,-0.475,0.029,0.001,0.0,0.0
355,11.6436,-44.729,-0.478,0.03,0.001,0.001,0.001
356,11.6626,-44.728,-0.478,0.028,0.0,0.001,0.0
357,11.6835,-44.728,-0.478,0.029,0.001,0.003,0.0
358,11.7024,-44.728,-0.48,0.028,0.001,0.001,0.0
359,11.7234,-44.728,-0.481,0.029,0.001,0.0,0.0
